,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
233,1,1,2,5,0.061508372,5.816195136,0.102908436,0.472568889,0.000203386,0.001182935,3.524170141,27.07620289,84.09332403
234,1,1,3,0,0.061508372,5.816195136,0.185040568,-0.387334829,0.000166703,0.000969577,3.524170141,-22.19265094,79.33650242
235,1,1,3,1,0.061508372,5.816195136,0.185040568,-0.296332573,0.000946393,0.005504408,3.524170141,-16.97860576,79.33650242
236,1,1,3,2,0.061508372,5.816195136,0.185040568,-0.110480101,0.001387448,0.008069667,3.524170141,-6.330043484,79.33650242
237,1,1,3,3,0.061508372,5.816195136,0.185040568,0.110480101,0.001387448,0.008069667,3.524170141,6.330043484,79.33650242
238,1,1,3,4,0.061508372,5.816195136,0.185040568,0.296332573,0.000946393,0.005504408,3.524170141,16.97860576,79.33650242
239,1,1,3,5,0.061508372,5.816195136,0.185040568,0.387334829,0.000166703,0.000969577,3.524170141,22.19265094,79.33650242
240,1,1,4,0,0.061508372,5.816195136,0.254122961,-0.237619797,6.98E-05,0.000405726,3.524170141,-13.6146115,75.27837729
241,1,1,4,1,0.061508372,5.816195136,0.254122961,-0.181792291,0.000396025,0.002303359,3.524170141,-10.41593101,75.27837729
242,1,1,4,2,0.061508372,5.816195136,0.254122961,-0.067776655,0.000580588,0.00337681,3.524170141,-3.883316283,75.27837729
243,1,1,4,3,0.061508372,5.816195136,0.254122961,0.067776655,0.000580588,0.00337681,3.524170141,3.883316283,75.27837729
244,1,1,4,4,0.061508372,5.816195136,0.254122961,0.181792291,0.000396025,0.002303359,3.524170141,10.41593101,75.27837729
245,1,1,4,5,0.061508372,5.816195136,0.254122961,0.237619797,6.98E-05,0.000405726,3.524170141,13.6146115,75.27837729
396,2,1,0,0,0.187125951,5.816195136,0,-0.506267563,3.84E-05,0.000223227,10.72152725,-29.00699468,90
397,2,1,0,1,0.187125951,5.816195136,0,-0.387322695,0.00021789,0.001267289,10.72152725,-22.19195571,90
398,2,1,0,2,0.187125951,5.816195136,0,-0.144403465,0.000319434,0.001857893,10.72152725,-8.273709082,90
399,2,1,0,3,0.187125951,5.816195136,0,0.144403465,0.000319434,0.001857893,10.72152725,8.273709082,90
400,2,1,0,4,0.187125951,5.816195136,0,0.387322695,0.00021789,0.001267289,10.72152725,22.19195571,90
401,2,1,0,5,0.187125951,5.816195136,0,0.506267563,3.84E-05,0.000223227,10.72152725,29.00699468,90
402,2,1,1,0,0.187125951,5.816195136,0.033826043,-0.502729965,0.000216367,0.001258434,10.72152725,-28.80430522,88.06154073
403,2,1,1,1,0.187125951,5.816195136,0.033826043,-0.384616236,0.001228344,0.007144286,10.72152725,-22.03688706,88.06154073
404,2,1,1,2,0.187125951,5.816195136,0.033826043,-0.14339443,0.001800797,0.010473789,10.72152725,-8.215895658,88.06154073
405,2,1,1,3,0.187125951,5.816195136,0.033826043,0.14339443,0.001800797,0.010473789,10.72152725,8.215895658,88.06154073
406,2,1,1,4,0.187125951,5.816195136,0.033826043,0.384616236,0.001228344,0.007144286,10.72152725,22.03688706,88.06154073
407,2,1,1,5,0.187125951,5.816195136,0.033826043,0.502729965,0.000216367,0.001258434,10.72152725,28.80430522,88.06154073
408,2,1,2,0,0.187125951,5.816195136,0.102908436,-0.472568889,0.000298172,0.001734226,10.72152725,-27.07620289,84.09332403
