,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
1296,0,6,0,0,0.0,9.760396039603961,0.0,-1.5707963267948966,1.1420639896953832e-05,0.00011146996841997118,0.0,-90.0,90.0
1297,0,6,0,1,0.0,9.760396039603961,0.0,-1.201746092623283,6.483639278839574e-05,0.0006328288713940645,0.0,-68.85497915365184,90.0
1298,0,6,0,2,0.0,9.760396039603961,0.0,-0.44804061837393533,9.505256576895794e-05,0.0009277506864855321,0.0,-25.670836483258057,90.0
1299,0,6,0,3,0.0,9.760396039603961,0.0,0.44804061837393533,9.505256576895794e-05,0.0009277506864855321,0.0,25.670836483258057,90.0
1300,0,6,0,4,0.0,9.760396039603961,0.0,1.201746092623283,6.483639278839574e-05,0.0006328288713940645,0.0,68.85497915365184,90.0
1301,0,6,0,5,0.0,9.760396039603961,0.0,1.5707963267948966,1.1420639896953832e-05,0.00011146996841997118,0.0,90.0,90.0
1302,0,6,1,0,0.0,9.760396039603961,0.11747233803526763,-1.5707963267948966,6.483639278839574e-05,0.0006328288713940645,0.0,-90.0,83.25375363435965
1303,0,6,1,1,0.0,9.760396039603961,0.11747233803526763,-1.201746092623283,0.0003680842639064718,0.0035926481916732666,0.0,-68.85497915365184,83.25375363435965
1304,0,6,1,2,0.0,9.760396039603961,0.11747233803526763,-0.44804061837393533,0.0005396252351310688,0.0052669560078436395,0.0,-25.670836483258057,83.25375363435965
1305,0,6,1,3,0.0,9.760396039603961,0.11747233803526763,0.44804061837393533,0.0005396252351310688,0.0052669560078436395,0.0,25.670836483258057,83.25375363435965
1306,0,6,1,4,0.0,9.760396039603961,0.11747233803526763,1.201746092623283,0.0003680842639064718,0.0035926481916732666,0.0,68.85497915365184,83.25375363435965
1307,0,6,1,5,0.0,9.760396039603961,0.11747233803526763,1.5707963267948966,6.483639278839574e-05,0.0006328288713940645,0.0,90.0,83.25375363435965
1308,0,6,2,0,0.0,9.760396039603961,0.3573842417596774,-1.5707963267948966,9.505256576895794e-05,0.0009277506864855321,0.0,-90.0,69.060360006749
1309,0,6,2,1,0.0,9.760396039603961,0.3573842417596774,-1.201746092623283,0.0005396252351310688,0.0052669560078436395,0.0,-68.85497915365184,69.060360006749
1310,0,6,2,2,0.0,9.760396039603961,0.3573842417596774,-0.44804061837393533,0.0007911106856343426,0.007721553602953812,0.0,-25.670836483258057,69.060360006749
1311,0,6,2,3,0.0,9.760396039603961,0.3573842417596774,0.44804061837393533,0.0007911106856343426,0.007721553602953812,0.0,25.670836483258057,69.060360006749
1312,0,6,2,4,0.0,9.760396039603961,0.3573842417596774,1.201746092623283,0.0005396252351310688,0.0052669560078436395,0.0,68.85497915365184,69.060360006749
1313,0,6,2,5,0.0,9.760396039603961,0.3573842417596774,1.5707963267948966,9.505256576895794e-05,0.0009277506864855321,0.0,90.0,69.060360006749
1314,0,6,3,0,0.0,9.760396039603961,0.6426157582403226,-1.5707963267948966,9.505256576895794e-05,0.0009277506864855321,0.0,-90.0,50.012852304034574
1315,0,6,3,1,0.0,9.760396039603961,0.6426157582403226,-1.201746092623283,0.0005396252351310688,0.0052669560078436395,0.0,-68.85497915365184,50.012852304034574
1316,0,6,3,2,0.0,9.760396039603961,0.6426157582403226,-0.44804061837393533,0.0007911106856343426,0.007721553602953812,0.0,-25.670836483258057,50.012852304034574
1317,0,6,3,3,0.0,9.760396039603961,0.6426157582403226,0.44804061837393533,0.0007911106856343426,0.007721553602953812,0.0,25.670836483258057,50.012852304034574
1318,0,6,3,4,0.0,9.760396039603961,0.6426157582403226,1.201746092623283,0.0005396252351310688,0.0052669560078436395,0.0,68.85497915365184,50.012852304034574
1319,0,6,3,5,0.0,9.760396039603961,0.6426157582403226,1.5707963267948966,9.505256576895794e-05,0.0009277506864855321,0.0,90.0,50.012852304034574
1320,0,6,4,0,0.0,9.760396039603961,0.8825276619647324,-1.5707963267948966,6.483639278839574e-05,0.0006328288713940645,0.0,-90.0,28.051206652624277
1321,0,6,4,1,0.0,9.760396039603961,0.8825276619647324,-1.201746092623283,0.0003680842639064718,0.0035926481916732666,0.0,-68.85497915365184,28.051206652624277
1322,0,6,4,2,0.0,9.760396039603961,0.8825276619647324,-0.44804061837393533,0.0005396252351310688,0.0052669560078436395,0.0,-25.670836483258057,28.051206652624277
