,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
1080,0,5,0,0,0.0,9.61980198019802,0.0,-1.5707963267948966,1.1607632768506062e-05,0.00011166312869188602,0.0,-90.0,90.0
1081,0,5,0,1,0.0,9.61980198019802,0.0,-1.201746092623283,6.589797457172682e-05,0.0006339254662761364,0.0,-68.85497915365184,90.0
1082,0,5,0,2,0.0,9.61980198019802,0.0,-0.44804061837393533,9.660888418735806e-05,0.0009293583354102683,0.0,-25.670836483258057,90.0
1083,0,5,0,3,0.0,9.61980198019802,0.0,0.44804061837393533,9.660888418735806e-05,0.0009293583354102683,0.0,25.670836483258057,90.0
1084,0,5,0,4,0.0,9.61980198019802,0.0,1.201746092623283,6.589797457172682e-05,0.0006339254662761364,0.0,68.85497915365184,90.0
1085,0,5,0,5,0.0,9.61980198019802,0.0,1.5707963267948966,1.1607632768506062e-05,0.00011166312869188602,0.0,90.0,90.0
1086,0,5,1,0,0.0,9.61980198019802,0.11747233803526763,-1.5707963267948966,6.589797457172682e-05,0.0006339254662761364,0.0,-90.0,83.25375363435965
1087,0,5,1,1,0.0,9.61980198019802,0.11747233803526763,-1.201746092623283,0.00037411099569226413,0.003598873697174295,0.0,-68.85497915365184,83.25375363435965
1088,0,5,1,2,0.0,9.61980198019802,0.11747233803526763,-0.44804061837393533,0.0005484606483119116,0.005276082830691616,0.0,-25.670836483258057,83.25375363435965
1089,0,5,1,3,0.0,9.61980198019802,0.11747233803526763,0.44804061837393533,0.0005484606483119116,0.005276082830691616,0.0,25.670836483258057,83.25375363435965
1090,0,5,1,4,0.0,9.61980198019802,0.11747233803526763,1.201746092623283,0.00037411099569226413,0.003598873697174295,0.0,68.85497915365184,83.25375363435965
1091,0,5,1,5,0.0,9.61980198019802,0.11747233803526763,1.5707963267948966,6.589797457172682e-05,0.0006339254662761364,0.0,90.0,83.25375363435965
1092,0,5,2,0,0.0,9.61980198019802,0.3573842417596774,-1.5707963267948966,9.660888418735806e-05,0.0009293583354102683,0.0,-90.0,69.060360006749
