nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
0,1,0,1,0.0,5.816195136106455,0.0,-0.3873226946602465,2.617962306433065e-05,0.0001522657963318603,0.0,-22.19195571366639,90.0
0,1,0,2,0.0,5.816195136106455,0.0,-0.14440346483426014,3.838030211289288e-05,0.00022322732647130387,0.0,-8.273709082068907,90.0
0,1,0,3,0.0,5.816195136106455,0.0,0.14440346483426014,3.838030211289288e-05,0.00022322732647130387,0.0,8.273709082068907,90.0
0,1,0,4,0.0,5.816195136106455,0.0,0.3873226946602465,2.617962306433065e-05,0.0001522657963318603,0.0,22.19195571366639,90.0
0,1,1,1,0.0,5.816195136106455,0.033826042739817486,-0.3846162360523016,0.0001475864425719587,0.0008583915494422809,0.0,-22.036887058004297,88.06154072890693
0,1,1,2,0.0,5.816195136106455,0.033826042739817486,-0.14339443023389783,0.0002163672196410103,0.0012584339704889212,0.0,-8.215895658085476,88.06154072890693
0,1,1,3,0.0,5.816195136106455,0.033826042739817486,0.14339443023389783,0.0002163672196410103,0.0012584339704889212,0.0,8.215895658085476,88.06154072890693
0,1,1,4,0.0,5.816195136106455,0.033826042739817486,0.3846162360523016,0.0001475864425719587,0.0008583915494422809,0.0,22.036887058004297,88.06154072890693
0,1,2,1,0.0,5.816195136106455,0.10290843647523877,-0.36154134473179467,0.00020338635817301537,0.0011829347471562974,0.0,-20.714793172616194,84.0933240332197
0,1,2,2,0.0,5.816195136106455,0.10290843647523877,-0.13479154095502907,0.0002981719734138177,0.00173422638149271,0.0,-7.722986410787952,84.0933240332197
0,1,2,3,0.0,5.816195136106455,0.10290843647523877,0.13479154095502907,0.0002981719734138177,0.00173422638149271,0.0,7.722986410787952,84.0933240332197
0,1,2,4,0.0,5.816195136106455,0.10290843647523877,0.36154134473179467,0.00020338635817301537,0.0011829347471562974,0.0,20.714793172616194,84.0933240332197
0,1,3,1,0.0,5.816195136106455,0.18504056756741682,-0.2963325728670876,0.00016670293365254608,0.0009695767918846157,0.0,-16.97860575753705,79.33650241625882
0,1,3,2,0.0,5.816195136106455,0.18504056756741682,-0.11048010058588051,0.00024439270729636987,0.0014214356754770352,0.0,-6.330043483751767,79.33650241625882
0,1,3,3,0.0,5.816195136106455,0.18504056756741682,0.11048010058588051,0.00024439270729636987,0.0014214356754770352,0.0,6.330043483751767,79.33650241625882
0,1,3,4,0.0,5.816195136106455,0.18504056756741682,0.2963325728670876,0.00016670293365254608,0.0009695767918846157,0.0,16.97860575753705,79.33650241625882
0,1,4,1,0.0,5.816195136106455,0.2541229613028381,-0.181792290756325,6.975804702140739e-05,0.00040572641379019506,0.0,-10.41593100835255,75.27837728676275
0,1,4,2,0.0,5.816195136106455,0.2541229613028381,-0.06777665504056749,0.00010226789411398484,0.0005948100283256087,0.0,-3.883316283338594,75.27837728676275
0,1,4,3,0.0,5.816195136106455,0.2541229613028381,0.06777665504056749,0.00010226789411398484,0.0005948100283256087,0.0,3.883316283338594,75.27837728676275
0,1,4,4,0.0,5.816195136106455,0.2541229613028381,0.181792290756325,6.975804702140739e-05,0.00040572641379019506,0.0,10.41593100835255,75.27837728676275
0,2,0,1,0.0,6.850191687504827,0.0,-0.6508556097099865,0.00011869342855615055,0.0008130727376567905,0.0,-37.291279508796144,90.0
0,2,0,2,0.0,6.850191687504827,0.0,-0.24265504305493868,0.00017400898537026348,0.001191994905134528,0.0,-13.903109844613263,90.0
0,2,0,3,0.0,6.850191687504827,0.0,0.24265504305493868,0.00017400898537026348,0.001191994905134528,0.0,13.903109844613263,90.0
0,2,0,4,0.0,6.850191687504827,0.0,0.6508556097099865,0.00011869342855615055,0.0008130727376567905,0.0,37.291279508796144,90.0
0,2,1,1,0.0,6.850191687504827,0.062252639694890144,-0.6464597014405159,0.0006692862247812719,0.004584738933558156,0.0,-37.03941251782883,86.43087865539617
0,2,1,2,0.0,6.850191687504827,0.062252639694890144,-0.2410161399027184,0.0009811985239047028,0.006721397972244001,0.0,-13.809207610960355,86.43087865539617
0,2,1,3,0.0,6.850191687504827,0.062252639694890144,0.2410161399027184,0.0009811985239047028,0.006721397972244001,0.0,13.809207610960355,86.43087865539617
0,2,1,4,0.0,6.850191687504827,0.062252639694890144,0.6464597014405159,0.0006692862247812719,0.004584738933558156,0.0,37.03941251782883,86.43087865539617
0,2,2,1,0.0,6.850191687504827,0.18939022417530643,-0.6090886257453175,0.0009244765902294083,0.006332841853682299,0.0,-34.89820760463003,79.0827994740967
0,2,2,2,0.0,6.850191687504827,0.18939022417530643,-0.22708328006938538,0.0013553171007127693,0.009284181937235755,0.0,-13.010913545963026,79.0827994740967
0,2,2,3,0.0,6.850191687504827,0.18939022417530643,0.22708328006938538,0.0013553171007127693,0.009284181937235755,0.0,13.010913545963026,79.0827994740967
0,2,2,4,0.0,6.850191687504827,0.18939022417530643,0.6090886257453175,0.0009244765902294083,0.006332841853682299,0.0,34.89820760463003,79.0827994740967
0,2,3,1,0.0,6.850191687504827,0.3405442330430441,-0.503509755554243,0.000764228656203252,0.005235112788076502,0.0,-28.84898393692189,70.0899648522373
0,2,3,2,0.0,6.850191687504827,0.3405442330430441,-0.18772087017432035,0.0011203876631965134,0.007674870257211714,0.0,-10.75561358751181,70.0899648522373
0,2,3,3,0.0,6.850191687504827,0.3405442330430441,0.18772087017432035,0.0011203876631965134,0.007674870257211714,0.0,10.75561358751181,70.0899648522373
0,2,3,4,0.0,6.850191687504827,0.3405442330430441,0.503509755554243,0.000764228656203252,0.005235112788076502,0.0,28.84898393692189,70.0899648522373
